iter	RMSE
0	14.74521173
1	14.35861333
2	13.96215535
3	13.60716248
4	13.23423949
5	12.91426288
6	12.59706227
7	12.33253002
8	12.07791497
9	11.78023616
10	11.50146367
11	11.24725062
12	11.02578949
13	10.78480687
14	10.55171209
15	10.31225478
16	10.08219367
17	9.876888256
18	9.672100292
19	9.470485707
20	9.297268519
21	9.125031499
22	8.946374449
23	8.770082007
24	8.612803788
25	8.492706742
26	8.341142421
27	8.206449953
28	8.063393595
29	7.941862159
30	7.840124109
31	7.724461212
32	7.612618016
33	7.504977066
34	7.395766071
35	7.3017307
36	7.207307482
37	7.121058583
38	7.035348249
39	6.950592607
40	6.877049062
41	6.810706758
42	6.73287679
43	6.676906655
44	6.612609595
45	6.543300683
46	6.481208074
47	6.422680084
48	6.365645005
49	6.308465892
50	6.255045669
51	6.206357151
52	6.158210229
53	6.10774129
54	6.062937233
55	6.022248212
56	5.987096145
57	5.951572394
58	5.91490538
59	5.879405518
60	5.850068526
61	5.817389409
62	5.785296273
63	5.749575182
64	5.720498167
65	5.693947983
66	5.665224165
67	5.636944435
68	5.617784963
69	5.595623475
70	5.577817231
71	5.553957533
72	5.534083675
73	5.512852607
74	5.488506367
75	5.470000422
76	5.451481703
77	5.434391956
78	5.41912346
79	5.401983418
80	5.391642396
81	5.374435736
82	5.361996194
83	5.350278576
84	5.339767764
85	5.325929153
86	5.312304927
87	5.297873065
88	5.285248447
89	5.272791053
90	5.25796509
91	5.245105809
92	5.234847927
93	5.22740778
94	5.217834682
95	5.202216961
96	5.191024862
97	5.177614033
98	5.167312166
99	5.156578181
100	5.150301151
101	5.139907872
102	5.130463457
103	5.116555548
104	5.109592748
105	5.099236491
106	5.091269427
107	5.083829817
108	5.074551227
109	5.065988252
110	5.058066871
111	5.048645839
112	5.041844287
113	5.035666177
114	5.031647766
115	5.023750296
116	5.020332992
117	5.01329851
118	5.007831645
119	5.003574202
120	5.000026129
121	4.996885799
122	4.987728518
123	4.98211245
124	4.97633233
125	4.969671842
126	4.96069274
127	4.952825644
128	4.947148324
129	4.941908278
130	4.933292268
131	4.926780629
132	4.920976502
133	4.913880662
134	4.90741717
135	4.899857319
136	4.895208318
137	4.890687179
138	4.885567396
139	4.880641254
140	4.876775101
141	4.872966201
142	4.872213274
143	4.86610339
144	4.858936111
145	4.856348684
146	4.849189943
147	4.846292669
148	4.8366493
149	4.831580623
150	4.823846948
151	4.818514833
152	4.810615772
153	4.80569075
154	4.799703983
155	4.793315764
156	4.788755333
157	4.785844781
158	4.783259445
159	4.779670998
160	4.777313556
161	4.771882352
162	4.766976366
163	4.764389727
164	4.760241199
165	4.756271555
166	4.752366592
167	4.747247636
168	4.744639406
169	4.741277477
170	4.737670042
171	4.732858766
172	4.727763667
173	4.721990361
174	4.715325604
175	4.708872411
176	4.706888087
177	4.701490863
178	4.698751377
179	4.695001774
180	4.692131491
181	4.688481857
182	4.683066764
183	4.678408425
184	4.672130515
185	4.668829452
186	4.665816216
187	4.6589632
188	4.655736172
189	4.652583515
190	4.648388229
191	4.643191627
192	4.640643222
193	4.637816184
194	4.634542281
195	4.629058282
196	4.62496131
197	4.62181286
198	4.615536286
199	4.612170497
200	4.609566137
201	4.607844421
202	4.605654784
203	4.601042417
204	4.598639569
205	4.594418474
206	4.589958823
207	4.588242153
208	4.585093788
209	4.583869241
210	4.579741301
211	4.574598503
212	4.572209772
213	4.567393244
214	4.560805142
215	4.555047771
216	4.553777527
217	4.552398566
218	4.550410186
219	4.548161537
220	4.54422226
221	4.540197221
222	4.534837931
223	4.531588739
224	4.529134787
225	4.52387483
226	4.520716605
227	4.51923191
228	4.515008367
229	4.509641603
230	4.506301621
231	4.499540312
232	4.497355046
233	4.495621851
234	4.490582548
235	4.487700172
236	4.483119205
237	4.477771291
238	4.475312358
239	4.472635285
240	4.471286662
241	4.468365548
242	4.464919662
243	4.459632536
244	4.458835278
245	4.457588494
246	4.451448477
247	4.443643838
248	4.44138164
249	4.439169209
250	4.432466328
251	4.429874049
252	4.423830829
253	4.420829098
254	4.41973392
255	4.418679738
256	4.414195609
257	4.408301738
258	4.405495628
259	4.403295255
260	4.400246553
261	4.398873034
262	4.393255274
263	4.388942901
264	4.388232991
265	4.386723494
266	4.383402035
267	4.379611763
268	4.376308239
269	4.375398431
270	4.370673339
271	4.366275401
272	4.362921554
273	4.360191417
274	4.355545634
275	4.351116117
276	4.349329086
277	4.3433117
278	4.340744935
279	4.339622935
280	4.335549732
281	4.331417297
282	4.32728773
283	4.325106213
284	4.320640954
285	4.319308889
286	4.313543105
287	4.3125838
288	4.30618826
289	4.300625345
290	4.294365764
291	4.288641577
292	4.2859569
293	4.284390777
294	4.281278038
295	4.278269187
296	4.274654515
297	4.272068126
298	4.269637189
299	4.268509364
300	4.261459583
301	4.256760482
302	4.252482983
303	4.247251853
304	4.245596183
305	4.244746776
306	4.24110281
307	4.237451468
308	4.235200923
309	4.232383869
310	4.227551408
311	4.226165707
312	4.220970118
313	4.218663114
314	4.21402008
315	4.211516935
316	4.208645511
317	4.203711322
318	4.203126351
319	4.201129548
320	4.198508342
321	4.197166382
322	4.19315601
323	4.188995007
324	4.186332557
325	4.181847481
326	4.177724036
327	4.175244441
328	4.174680067
329	4.169625206
330	4.16603269
331	4.162683612
332	4.158893987
333	4.157925393
334	4.156040541
335	4.155068621
336	4.152739346
337	4.149672478
338	4.146921493
339	4.145757211
340	4.144593358
341	4.142238618
342	4.139305243
343	4.136166403
344	4.133878587
345	4.131241496
346	4.128228203
347	4.125496438
348	4.123469949
349	4.119376513
350	4.113107003
351	4.108784287
352	4.106678093
353	4.105829363
354	4.102566192
355	4.09712388
356	4.094960664
357	4.090424834
358	4.088357145
359	4.082077709
360	4.076785351
361	4.074920887
362	4.074558591
363	4.073461448
364	4.071279746
365	4.068360793
366	4.063513335
367	4.06121973
368	4.057342399
369	4.053338962
370	4.05207176
371	4.048252046
372	4.043687952
373	4.042634284
374	4.03900544
375	4.035984641
376	4.03487126
377	4.03122427
378	4.026131898
379	4.025908382
380	4.020036049
381	4.018334616
382	4.018290919
383	4.016950374
384	4.014515182
385	4.012312182
386	4.011720882
387	4.010321686
388	4.00702235
389	4.005191114
390	4.003924588
391	3.998113669
392	3.997136025
393	3.994123154
394	3.993061942
395	3.988951909
396	3.988193385
397	3.983382767
398	3.980045919
399	3.97847022
400	3.977323802
401	3.974959191
402	3.972559802
