iter	Passed	Remaining
0	0	51
1	1	49
2	1	46
3	1	44
4	2	42
5	2	41
6	3	40
7	3	40
8	3	40
9	4	39
10	4	38
11	5	38
12	5	37
13	6	37
14	6	36
15	6	36
16	7	35
17	7	35
18	8	34
19	8	34
20	9	33
21	9	33
22	9	33
23	10	32
24	10	32
25	11	31
26	11	32
27	12	32
28	12	31
29	13	31
30	13	30
31	14	30
32	14	29
33	14	29
34	15	28
35	15	28
36	16	27
37	16	27
38	17	26
39	17	26
40	17	25
41	18	25
42	18	24
43	19	24
44	19	23
45	19	23
46	20	22
47	20	22
48	21	21
49	21	21
50	21	21
51	22	20
52	22	19
53	22	19
54	23	19
55	23	18
56	24	18
57	24	17
58	24	17
59	25	16
60	25	16
61	26	16
62	26	15
63	26	15
64	27	14
65	27	14
66	28	13
67	28	13
68	28	12
69	29	12
70	29	12
71	29	11
72	30	11
73	30	10
74	31	10
75	31	10
76	32	9
77	32	9
78	33	8
79	33	8
80	33	7
81	34	7
82	34	7
83	34	6
84	35	6
85	35	5
86	36	5
87	36	4
88	36	4
89	37	4
90	37	3
91	38	3
92	38	2
93	38	2
94	39	2
95	39	1
96	40	1
97	40	0
98	40	0
99	41	0
