iter	Passed	Remaining
0	49	49199
1	50	25146
2	51	17066
3	52	13037
4	53	10629
5	56	9426
6	58	8239
7	59	7337
8	61	6772
9	62	6213
10	63	5729
11	64	5322
12	65	4975
13	66	4678
14	67	4441
15	69	4253
16	70	4057
17	71	3878
18	72	3719
19	73	3593
20	75	3497
21	76	3390
22	77	3291
23	78	3195
24	79	3114
25	81	3053
26	82	2975
27	84	2917
28	85	2846
29	86	2786
30	87	2732
31	88	2691
32	90	2645
33	91	2603
34	93	2565
35	94	2519
36	94	2472
37	95	2428
38	97	2390
39	97	2350
40	100	2340
41	101	2324
42	103	2304
43	104	2271
44	105	2238
45	106	2212
46	107	2185
47	108	2155
48	109	2127
49	110	2100
50	111	2071
51	112	2052
52	113	2035
53	117	2054
54	118	2041
55	119	2013
56	120	1986
57	120	1963
58	122	1945
59	122	1922
60	123	1902
61	124	1878
62	124	1857
63	125	1839
64	126	1819
65	127	1806
66	128	1788
67	128	1767
68	129	1747
69	130	1727
70	130	1708
71	131	1689
72	131	1674
73	133	1665
74	133	1647
75	134	1633
76	134	1616
77	135	1598
78	135	1581
79	136	1565
80	136	1549
81	137	1534
82	137	1517
83	137	1503
84	138	1489
85	138	1475
86	139	1462
87	140	1451
88	140	1439
89	141	1428
90	142	1422
91	142	1410
92	143	1398
93	143	1387
94	144	1376
95	145	1367
96	145	1357
97	146	1349
98	147	1342
99	148	1332
100	148	1322
101	149	1312
102	149	1303
103	150	1293
104	150	1285
105	151	1275
106	151	1266
107	152	1256
108	152	1246
109	152	1237
110	153	1230
111	154	1224
112	155	1217
113	155	1209
114	156	1205
115	157	1197
116	157	1188
117	157	1180
118	158	1172
119	158	1164
120	159	1156
121	159	1148
122	160	1141
123	160	1135
124	161	1132
125	162	1126
126	162	1119
127	163	1112
128	164	1108
129	164	1102
130	165	1096
131	165	1089
132	166	1083
133	166	1076
134	167	1070
135	167	1063
136	168	1058
137	168	1054
138	169	1049
139	169	1043
140	170	1037
141	170	1030
142	170	1024
143	171	1018
144	171	1013
145	172	1007
146	172	1002
147	173	996
148	173	991
149	174	986
150	174	981
151	175	978
152	175	974
153	177	973
154	177	969
155	178	965
156	179	961
157	183	979
158	184	977
159	187	986
160	188	981
161	188	976
162	189	972
163	190	968
164	191	970
165	192	965
166	192	960
167	193	956
168	193	952
169	195	953
170	195	948
171	196	944
172	196	939
173	196	935
174	197	930
175	198	931
176	199	927
177	200	924
178	200	920
179	201	916
180	201	912
181	201	907
182	202	903
183	202	899
184	203	895
185	203	891
186	204	887
187	205	887
188	206	885
189	206	881
190	207	877
191	207	873
192	208	870
193	208	866
194	209	863
195	209	860
196	210	856
197	210	852
198	210	849
199	211	845
200	211	841
201	212	839
202	213	838
203	214	835
204	214	832
205	215	828
206	215	825
207	215	822
208	216	818
209	216	815
210	217	812
211	217	808
212	218	805
213	218	803
214	219	802
215	220	799
216	221	797
217	221	794
218	224	800
219	224	797
220	225	794
221	225	791
222	226	788
223	226	785
224	227	782
225	227	779
226	228	776
227	228	773
228	228	770
229	229	767
230	229	764
231	230	763
232	231	760
233	231	757
234	231	754
235	232	752
236	232	749
237	233	746
238	234	745
239	234	743
240	235	741
241	235	739
242	236	736
243	237	734
244	237	733
245	238	730
246	239	728
247	239	727
248	240	724
249	240	722
250	241	719
251	241	717
252	242	714
253	242	712
254	242	709
255	243	707
256	243	705
257	244	702
258	244	700
259	245	698
260	246	698
261	247	697
262	248	697
263	251	701
264	252	699
265	252	697
266	253	695
267	253	692
268	254	690
269	254	688
270	255	686
271	255	683
272	255	681
273	256	679
274	257	677
275	257	675
276	258	673
277	258	671
278	258	669
279	259	666
280	259	664
281	260	662
282	260	660
283	260	657
284	261	655
285	261	653
286	262	651
287	262	649
288	263	648
289	264	647
290	265	646
291	265	644
292	266	643
293	267	642
294	268	640
295	268	638
296	269	637
297	269	635
298	270	633
299	271	632
300	271	630
301	272	629
302	272	627
303	273	625
304	273	623
305	274	621
306	274	619
307	274	617
308	275	616
309	276	614
310	276	613
311	277	612
312	278	610
313	278	608
314	279	606
315	279	605
316	280	603
317	280	602
318	281	600
319	282	599
320	282	597
321	283	596
322	283	594
323	284	592
324	285	593
325	286	591
326	286	589
327	287	588
328	287	586
329	287	584
330	288	582
331	288	580
332	289	579
333	289	577
334	290	576
335	291	576
336	292	575
337	294	576
338	294	574
339	295	573
340	295	571
341	296	570
342	297	570
343	298	568
344	298	567
345	299	565
346	300	565
347	301	563
348	301	562
349	302	561
350	302	559
351	303	557
352	303	556
353	304	554
354	304	553
355	305	552
356	306	552
357	307	550
358	307	549
359	308	548
360	308	546
361	309	545
362	309	543
363	310	542
364	310	540
365	311	539
366	311	537
367	312	536
368	312	534
369	313	533
370	313	532
371	314	531
372	315	530
373	315	528
374	316	526
375	316	525
376	317	523
377	317	522
378	317	520
379	318	519
380	318	518
381	319	516
382	320	515
383	320	514
384	321	513
385	321	512
386	322	511
387	323	509
388	323	508
389	324	507
390	324	505
391	325	504
392	325	502
393	326	501
394	326	500
395	326	498
396	327	497
397	327	495
398	328	494
399	328	493
400	329	491
401	329	490
402	330	489
403	330	487
404	331	486
405	332	485
406	332	484
407	333	483
408	333	481
409	334	480
410	335	480
411	336	479
412	337	479
413	338	478
414	338	477
415	339	476
416	339	474
417	340	473
418	340	472
419	340	470
420	341	469
421	341	468
422	342	466
423	343	465
424	343	464
425	344	463
426	344	462
427	344	460
428	345	459
429	345	458
430	346	457
431	346	455
432	347	454
433	347	453
434	348	452
435	349	451
436	349	450
437	350	449
438	350	448
439	351	447
440	351	445
441	352	444
442	352	443
443	353	442
444	353	441
445	354	439
446	354	438
447	354	437
448	355	436
449	355	434
450	356	433
451	356	432
452	357	431
453	357	430
454	358	429
455	358	427
456	359	426
457	359	425
458	359	424
459	360	423
460	360	421
461	361	420
462	361	419
463	362	418
464	363	418
465	364	417
466	364	416
467	365	414
468	365	413
469	365	412
470	366	411
471	366	410
472	367	409
473	368	408
474	368	407
475	369	407
476	370	406
477	370	404
478	371	403
479	371	402
480	372	401
481	372	400
482	373	399
483	373	398
484	374	397
485	375	396
486	375	395
487	376	394
488	377	394
489	378	393
490	379	393
491	379	392
492	380	391
493	380	390
494	381	388
495	381	387
496	382	387
497	383	386
498	383	385
499	384	384
500	384	383
501	385	382
502	385	381
503	386	380
504	386	378
505	387	377
506	387	376
507	388	375
508	388	374
509	389	373
510	389	372
511	390	372
512	392	372
513	393	371
514	394	371
515	394	370
516	395	369
517	395	368
518	396	367
519	396	366
520	397	365
521	397	364
522	398	363
523	398	362
524	399	361
525	400	360
526	400	359
527	401	358
528	401	357
529	402	356
530	402	355
531	403	354
532	403	353
533	404	352
534	404	351
535	405	350
536	405	349
537	406	348
538	406	348
539	407	347
540	408	346
541	408	345
542	409	344
543	409	343
544	410	342
545	410	341
546	410	340
547	411	339
548	412	338
549	412	337
550	413	336
551	413	335
552	414	334
553	414	333
554	415	332
555	415	332
556	416	331
557	417	330
558	418	329
559	418	329
560	419	328
561	420	327
562	421	326
563	421	325
564	422	324
565	422	323
566	422	323
567	423	322
568	423	321
569	424	320
570	425	319
571	425	318
572	427	318
573	427	317
574	428	316
575	428	315
576	428	314
577	429	313
578	429	312
579	430	311
580	430	310
581	431	309
582	431	308
583	432	307
584	432	307
585	433	306
